LAST SEEN   TYPE      REASON                         OBJECT                                       MESSAGE
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-rw865       Successfully assigned finance/payment-api-stable-846d79cb8-rw865 to minikube
103m        Normal    ScalingReplicaSet              deployment/payment-api-stable                Scaled up replica set payment-api-stable-846d79cb8 from 0 to 8
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-7gl2r
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-8x9jz
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-k5tnm
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-xbzjr
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-rw865
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-dtm99
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-6t7bq
103m        Normal    SuccessfulCreate               replicaset/payment-api-stable-846d79cb8      Created pod: payment-api-stable-846d79cb8-b4xt7
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-7gl2r       Successfully assigned finance/payment-api-stable-846d79cb8-7gl2r to minikube
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-6t7bq       Successfully assigned finance/payment-api-stable-846d79cb8-6t7bq to minikube
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-b4xt7       Successfully assigned finance/payment-api-stable-846d79cb8-b4xt7 to minikube
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-xbzjr       Successfully assigned finance/payment-api-stable-846d79cb8-xbzjr to minikube
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-dtm99       Successfully assigned finance/payment-api-stable-846d79cb8-dtm99 to minikube
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-k5tnm       Successfully assigned finance/payment-api-stable-846d79cb8-k5tnm to minikube
103m        Normal    Scheduled                      pod/payment-api-stable-846d79cb8-8x9jz       Successfully assigned finance/payment-api-stable-846d79cb8-8x9jz to minikube
100m        Normal    Pulling                        pod/payment-api-stable-846d79cb8-k5tnm       Pulling image "registry.example.com/payment-api:v1"
100m        Normal    Pulling                        pod/payment-api-stable-846d79cb8-dtm99       Pulling image "registry.example.com/payment-api:v1"
100m        Normal    Pulling                        pod/payment-api-stable-846d79cb8-7gl2r       Pulling image "registry.example.com/payment-api:v1"
100m        Normal    Pulling                        pod/payment-api-stable-846d79cb8-6t7bq       Pulling image "registry.example.com/payment-api:v1"
100m        Normal    Pulling                        pod/payment-api-stable-846d79cb8-8x9jz       Pulling image "registry.example.com/payment-api:v1"
